,0,1,2,3
0,0.00049987173,0.0003770899,0.00023420455,0.9988888
1,0.00010824354,0.0005382914,0.00021096042,0.9991425
2,0.00046450068,0.022728369,0.00088592304,0.9759212
3,0.00017651203,0.0010310609,0.00034305267,0.9984493
4,0.00022465055,0.0010106257,0.00044540767,0.9983193
5,0.00018262537,0.001265254,0.0003543418,0.99819785
6,0.00012263552,0.00087765564,0.00024881118,0.9987509
7,0.00013819618,0.0009875527,0.00032394766,0.99855024
8,0.00022603564,0.0022660317,0.00044815408,0.99705976
9,0.00014866941,0.0013353196,0.00028355102,0.99823254
10,0.00027888786,0.0021760024,0.0006376324,0.99690753
11,0.00013058084,0.0016591868,0.00026745556,0.99794275
12,0.00010751452,0.0006545937,0.00020872588,0.99902916
13,0.000101884536,0.0008743329,0.00016838436,0.99885535
14,0.00019191825,0.0012138326,0.00037399126,0.99822026
15,8.493711e-05,0.0005322785,0.00015620523,0.99922657
16,0.00028907906,0.004892174,0.0005196451,0.99429905
17,0.003913629,0.087343276,0.00650195,0.9022412
18,0.0010476008,0.9817901,0.002037686,0.015124605
19,0.00043965448,0.0028244834,0.0007448243,0.99599105
20,0.00014493993,0.0009509722,0.00035426213,0.99854976
21,0.00027290476,0.004443106,0.0006902081,0.9945938
22,0.0033033614,0.80331683,0.11817653,0.07520326
23,0.0016164657,0.99179685,0.003648366,0.0029382564
24,0.006190694,0.14582299,0.014805105,0.83318126
25,0.0005575206,0.9965888,0.0009501507,0.0019035635
26,0.00075520563,0.99671704,0.0012752757,0.001252492
27,0.0002635219,0.9987734,0.0004043254,0.00055871025
28,0.00023391249,0.9986713,0.00033608987,0.0007587581
29,0.00023234278,0.99847084,0.00044972834,0.0008470902
30,0.0002636752,0.99878746,0.0005383511,0.00041051628
31,0.0004322081,0.9982383,0.00063859805,0.00069087907
32,0.00023204733,0.9989907,0.00041421028,0.00036305076
33,0.00034109995,0.99776804,0.0005260819,0.0013647636
34,0.0004080655,0.9982097,0.0006925456,0.0006897026
35,0.00012259149,0.9994373,0.00025562005,0.00018447301
36,0.00022784933,0.99892443,0.00045423646,0.00039345733
37,0.00016733972,0.99922836,0.00033325306,0.00027108195
38,0.0001643267,0.9992436,0.00032386172,0.00026824357
39,0.00011021762,0.9995352,0.00017462832,0.000179917
40,8.384319e-05,0.99960345,0.00017291242,0.00013983231
41,0.00010403001,0.9995524,0.00015128542,0.00019226567
42,0.00012037882,0.99949574,0.00018732647,0.00019650413
43,0.00022715807,0.9988939,0.00042277738,0.00045613715
44,0.00014849185,0.99927455,0.00029486386,0.00028212066
45,0.00031620893,0.99781215,0.0005145222,0.0013570852
46,0.020063445,0.978182,0.00048288834,0.0012716881
47,0.99824107,0.0015383856,7.584771e-05,0.00014466204
48,0.0011521393,0.99758244,0.0004957367,0.00076971087
49,0.99896145,0.0007146363,9.901764e-05,0.00022491833
50,0.0061456617,0.9928784,0.00049943576,0.00047655066
