,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Date
64,-7.08916905548532,-6.142043957364551,3.9422469372983366,4.351961351131521,-0.7191500102128137,5.385367501179266,2.900606718058842,-1.7198096696022134,2008-01-18
65,-7.806912205983884,-8.29790709457042,-0.47942227892202754,4.231768229343914,-0.8815736620187059,5.224882156597735,2.539118670009694,-1.831530176860039,2008-01-22
66,-5.702321552385899,-4.05854624197093,8.267062101895743,4.241111196779721,0.2937183010840462,4.435351401107916,2.6707433458302896,-1.7906756832461246,2008-01-23
67,-5.071765282529078,-3.9237502788206955,5.32780513506755,4.858079551794059,-1.508188976233899,5.925506453896201,1.883964963235368,-1.804954519716989,2008-01-24
68,-6.138392780663676,-5.766821173844971,2.15849421269855,4.615113986059319,-1.3516616493580549,5.695461454747599,2.3497608130641523,-1.8346283569655468,2008-01-25
69,-4.80898126285562,-3.820474585886398,4.558623383758464,4.778629722945478,-1.8615660590811944,6.113607798097658,1.7893852295314014,-2.451258054158636,2008-01-28
70,-4.319873586310137,-3.663330040565778,3.858925580370815,4.760285487160855,-1.5710722860727535,3.9244779930258455,2.7702745266393545,-0.7440603343093228,2008-01-29
71,-4.600393724430058,-4.429545731541974,2.0761455274446425,4.947978675840998,-1.9616817088156322,5.2531447154032325,1.9831540215741086,-1.6857294335381972,2008-01-30
72,-3.5690122625408063,-3.049214817854129,3.6598784181076955,4.6364742037338535,-1.298375149466946,2.6525663959440733,2.9130792182327365,-0.9104461861098458,2008-01-31
73,-3.090650102237439,-3.007510925248204,2.3241419526778664,4.3777515387517445,-1.1188733027487092,0.9435620253710092,3.1848282611126266,-1.5536261365314956,2008-02-01
74,-3.268508904730422,-4.206329299473484,-0.5428252980897745,4.777709511024296,-1.4366614833309446,1.9209600296152711,2.763862227583953,-1.1157820233956088,2008-02-04
75,-5.039211275278185,-6.6462780107770065,-3.4650860529781844,4.510615112181089,-0.5459904755145845,0.6263175778756149,3.1590772621686947,-1.0021791724248903,2008-02-05
76,-5.090009439855426,-5.968150163915339,-1.5991134400337328,4.6128595430777235,-0.6567014088097658,2.37685348313179,2.2418143004270448,-2.061956596331497,2008-02-06
77,-3.8861974327006465,-3.3264377498035147,3.9574062719671286,4.89627573244916,0.47744370530984614,1.022893010606839,2.55097278235737,-1.2965757275384067,2008-02-07
78,-3.814150201895998,-3.2525075892703015,3.5620485597856724,5.043530425803968,-0.30079206731537356,3.431167941493902,1.89809811217918,-2.6626410540496614,2008-02-08
79,-3.7276261683165837,-3.590349573400413,2.0950072759888396,5.030489998307447,-0.6007296165847459,3.221874097662969,2.319239435655401,-1.993106321099446,2008-02-11
80,-2.8624773308927,-3.0699798436787,1.5227104930221127,5.066480890104195,-0.4427733525783515,1.1523783416811368,2.8207978127547437,-0.9178863608453709,2008-02-12
81,-1.8433248112040055,-1.6067507834048629,4.185817169978237,5.194790392769587,0.015483365294658491,1.1237094971962869,2.9461842083566183,-0.5891654518922466,2008-02-13
82,-2.2503102126808656,-2.597412739778571,1.8904716189316864,5.389620591079529,-0.8939289070099096,2.255046434644937,2.4527933302293756,-0.5321351466479733,2008-02-14
83,-2.0302408266558882,-2.5677089862826077,1.4429448931459141,5.056799231039508,-0.8771307416192128,1.6315301013300878,2.8260807350711517,-0.6108980997778546,2008-02-15
84,-0.7621810624958029,-1.4724231399247931,1.4051096249478066,5.5893939721636,-2.3027163706521763,3.0392810805626036,2.0287185618694927,-1.1377633959590034,2008-02-19
85,-0.5732771887887554,-1.0423886083576615,2.2449518745432337,5.430331051741701,-2.1359913711045704,2.5541065374685177,2.4170866061118845,-0.9150129872083586,2008-02-20
86,-1.357821875702141,-2.858811311871167,-1.8508092148309618,5.4942383190428,-2.920981760688061,2.67198656660553,2.300218938814107,-1.0418457676234574,2008-02-21
87,-0.40565661801477193,-1.027003213800115,2.0655997642597246,5.663628247695299,-2.7664185683656375,3.5290379972317707,2.2231703030053436,-0.7576744973252314,2008-02-22
88,0.3861960332120694,-0.8800980367721023,1.934183177320755,5.677036349971231,-2.086793410957282,1.6632733342264228,3.2035385068528557,0.5115061180450097,2008-02-25
89,1.3547619968830622,0.5692461970091445,4.106570377995722,5.793121151866586,-2.799107430493457,3.0005249028043126,2.580607993342846,-0.5578396226120382,2008-02-26
90,0.8068316985596976,-1.4010775766064842,-0.31710719131722975,5.799151872902809,-3.339892329476075,2.992678358544187,2.2845994933649334,-0.03534499350692871,2008-02-27
