Date,strategy_return,cumulative_return
2020-01-03,0.0009022698328171097,1.0009022698328172
2020-01-06,0.002124053680905996,1.0030282399832826
2020-01-07,-0.0003296668146239135,1.0026975748584295
2020-01-08,-0.003636639235458811,0.9990511255164
2020-01-09,0.0006652069761734437,0.9997157012946474
2020-01-10,-0.0014430937616707329,0.9982730178026648
2020-01-13,-0.0004216935726668871,0.9978520524872906
2020-01-14,-0.0007694947752840519,0.9970842105463951
2020-01-15,0.003326385864856174,1.000400897370428
2020-01-16,0.007309512203045876,1.0077133399376952
2020-01-17,0.0017983329383753632,1.0095255440293454
2020-01-21,-0.002398713749549003,1.0071039812263611
2020-01-22,0.0006119015421139351,1.0077202297055428
2020-01-23,0.00148870623637673,1.0092204290960283
2020-01-24,-0.005941209003422571,1.003224439596245
2020-01-27,-0.01030681623135557,0.9928843896585219
2020-01-28,0.0003757470422774356,0.9932574630312595
2020-01-29,-0.001995833701916516,0.9912750863118617
2020-01-30,0.0024021127548563117,0.9936562408402627
2020-01-31,-0.012341017700616057,0.9813935115837255
2020-02-03,-0.0017138291149561894,0.9797115708103441
2020-02-04,-0.00034606261753861774,0.9793725292597165
2020-02-05,0.007772478968002916,0.9869846816452275
2020-02-06,0.003778496828910377,0.990714000135007
2020-02-07,-0.004816294360310058,0.9859424298834766
2020-02-10,0.006940698818544144,0.9927855593417213
2020-02-11,0.0013498251543441198,0.9941256462625905
2020-02-12,0.00556461182341883,0.9996575695877471
2020-02-13,0.001710322116165075,1.001367306037605
2020-02-14,0.0021170336504988674,1.003487234320996
2020-02-18,0.003907838894165173,1.0074087007650738
2020-02-19,0.0029591776599229513,1.0103898020867899
2020-02-20,0.001745663026360378,1.0121536022065043
2020-02-21,0.0005981011017319295,1.012758972391106
2020-02-24,-0.005092375187017039,1.0076016237296725
2020-02-25,-0.005057101293606159,1.0025060802548695
2020-02-26,2.1154951294411037e-05,1.0025272882221699
2020-02-27,0.0009234482989923356,1.0034530703411721
2020-02-28,-0.005525562568744935,0.9979084276162028
2020-03-02,-0.0026600822316011578,0.9952539091391358
2020-03-03,0.012420569598693997,1.0076155295859708
2020-03-04,-0.0012892371820931612,1.006316474179974
2020-03-05,0.010914008572644393,1.0172994208059676
2020-03-06,0.013434840196165653,1.0309666759561478
2020-03-09,0.004321444746567436,1.0354219414818444
2020-03-10,-0.01580251432190457,1.0190596714223632
2020-03-11,-0.011494897571764662,1.007345684879847
2020-03-12,-0.005825833626704213,1.0014770565151587
2020-03-13,-0.0008073717702140708,1.0006684922112112
2020-03-16,0.0031678285505434244,1.003838438430467
2020-03-17,-0.008859966164251252,0.9949444638315983
2020-03-18,-0.016832994531198454,0.9781965691130748
2020-03-19,0.011971105467793142,0.9899066634101609
2020-03-20,0.02591836393858735,1.0155634245776581
2020-03-23,0.02504532216900306,1.0409985377292617
2020-03-24,0.004398443480596593,1.0455773109608475
2020-03-25,-0.008549612326806223,1.0366380302944278
2020-03-26,0.017752932796370455,1.0550413955804065
2020-03-27,-0.00652195259031123,1.0481604656176153
2020-03-30,0.009874974175691232,1.0585110231475696
2020-03-31,-0.012613327810430196,1.0451596766216553
2020-04-01,-0.007540786292808034,1.037278350858391
2020-04-02,0.012507477683388203,1.050252086683214
2020-04-03,-0.0017674931901151205,1.048395773272097
2020-04-06,0.02524300007985547,1.0748604278605245
2020-04-07,-0.004691126489489262,1.0698181216348843
2020-04-08,0.007573141670214433,1.077920005831388
2020-04-09,0.008680073065390181,1.0872764302406503
2020-04-13,-0.0014338759441972048,1.0857174107226357
2020-04-14,0.00925791741091664,1.0957688928427
2020-04-15,-0.0006022109325056863,1.0951090088359305
